Index,Country,BMI,Thinness 1-19 Years,Thinness 5-9 Years,Hepatitis B,Measles,Polio
69,Saudi Arabia,5.53125,7.35625,7.36875,86.41666667,"3248.75",75.4375
70,Sao Tome and Principe,2.085,6.6375,6.55625,96.8125,759.3125,96.8125
71,Samoa,6.290625,0.2,0.16875,83.30769231,0,90.5625
72,Saint Vincent and the Grenadines,4.199375,3.6625,3.6125,89.28571429,0,84.875
73,Saint Lucia,3.959375,4.35,4.38125,97,0,96
74,Saint Kitts and Nevis,0.52,3.7,3.6,96,505.875,88.5
75,Rwanda,1.475,6.63125,6.65625,92.33333333,"1616.44",97.5625
76,Russian Federation,5.331875,2.44375,2.60625,95,390.875,94.9375
77,Republic of Moldova,4.390625,3.025,3.2,95.125,"3548.44",91.25
78,Republic of Korea,2.324375,1.5375,1.01875,95.0625,96.25,95.875
79,Qatar,6.565,4.95625,4.5875,62.125,"7144.69",78.1875
80,Philippines,1.91875,1,9.69375,83.69230769,0.375,82.8125
81,Peru,4.486875,1.21875,1.21875,82.15384615,0,77.9375
82,Paraguay,3.9525,2.2,2.11875,57,"2349.88",62.5625
83,Papua New Guinea,4.07875,1.40625,1.3625,78.66666667,0.25,84.6875
84,Panama,4.93125,2.08125,2.01875,99,0,99
85,Palau,8.33,0.1,0.1,67.30769231,"3842.31",64.1875
86,Pakistan,1.83125,15.0875,15.5125,98.8125,10.875,98.5
87,Oman,4.478125,7.025,6.825,99,0,99
88,Niue,7.73,0.1,0.1,42.90909091,"51653.94",41.3125
89,Nigeria,1.975,10.41875,10.36875,60.57142857,"15467.13",52.9375
90,Niger,1.63625,9.025,8.9125,91.875,0,88.1875
91,Nicaragua,4.268125,1.96875,1.875,65.38461539,"4663.56",69.125
92,Nepal,1.5175,17.13125,17.66875,87,0,87
93,Nauru,8.73,0.1,0.1,86.33333333,722.0625,78.5
94,Namibia,2.8225,10.7,10.70625,65.46153846,914.5,70.6875
95,Myanmar,1.7125,13.13125,13.425,67.86666667,"4735",69
96,Mozambique,1.614375,3.80625,3.71875,87.25,"2593",96.9375
97,Morocco,4.861875,6.45625,6.3125,48.5,0.625,84.3
98,Montenegro,5.04875,2.1375,2.1875,97.4375,"2079.25",97.5625
99,Mongolia,3.979375,2.28125,2.3875,99,0,99
100,Micronesia (Federated States of),6.515,0.2125,0.20625,75.4375,8.75,82.375
101,Mexico,5.141875,1.73125,1.66875,94.4375,11,95.0625
102,Mauritius,2.598125,7.46875,7.4125,96.1875,54.3125,96.5
103,Mauritania,2.2475,6.48125,6.81875,57.63636364,815.9375,63.0625
104,Marshall Islands,8.16,0.1,0.1,8,0,79
105,Mali,1.72125,7.075,6.35,67.15384615,823.3125,62.5
106,Maldives,1.929375,14.19375,14.2875,97.875,157.875,97.875
107,Malaysia,2.916875,8.6125,8.40625,96,"1453.13",96.375
108,Malawi,1.678125,7.11875,6.9875,89.57142857,"7559.44",89.0625
109,Madagascar,1.476875,7.86875,7.78125,63.35714286,"9576.19",59.9375
110,Libya,5.48375,5.6,5.43125,96.3125,547.3125,96.5
111,Liberia,1.99875,7.8375,7.7625,49.125,705.3125,59.4375
112,Lesotho,2.52375,7.1875,7.06875,73.23076923,266.6875,67.9375
113,Lebanon,5.53375,4.76875,4.71875,70.5,295.1875,71.25
114,Lao People's Democratic Republic,1.43625,6.275,6.38125,60.30769231,552.75,58.8125
115,Kyrgyzstan,3.51125,3.35625,3.4125,85.5625,"1156.63",95.875
116,Kuwait,5.960625,3.28125,3.15625,98.1875,15.375,98.1875
117,Kiribati,6.943125,0.15625,0.1375,75.1875,0,75.25
118,Kenya,1.55625,8.4,8.2875,74.57142857,"2643.88",70.1875
119,Kazakhstan,4.515625,2.4375,2.54375,97.3125,"1246.94",97.5
120,Jordan,5.3,3.8875,3.86875,97,26.5,97.125
121,Jamaica,4.5425,1.88125,1.7375,83.15384615,0.1875,89.625
122,Israel,5.49875,1.14375,1.1,97.4375,138.9375,94.25
123,Iraq,4.859375,5.4,5.1625,64.875,"3454.38",55.625
124,Iran (Islamic Republic of),4.863125,7.76875,7.95625,97.75,"2828.25",98.25
125,Indonesia,1.995625,3.41875,3.94375,73.5625,"16244.94",62.1875
126,India,1.479375,27.1,27.94375,35,"46454.19",69.625
127,Honduras,3.974375,2.4,2.3375,95.0625,0,95.375
128,Haiti,3.9275,4.24375,4.25625,40.66666667,71.9375,53.8125
129,Guyana,3.638125,5.68125,5.46875,88.2,0,87.75
130,Guinea-Bissau,1.943125,7.5,7.38125,75,331.3125,74.75
131,Guinea,1.746875,7.64375,7.625,58.66666667,"1522",52.4375
132,Guatemala,4.044375,1.3375,1.3375,87.09090909,0,71.4375
133,Grenada,4.02125,3.91875,3.93125,95.46666667,0,95.125
134,Greece,5.868125,0.8125,0.73125,88.9375,24.875,91.4375
135,Ghana,2.1725,7.65,7.575,67.5,"3419.75",78.9375
136,Georgia,4.774375,2.75,2.89375,77.25,"1298",81.1875
137,Gambia,2.03,7.5875,7.50625,95.375,41.25,92.75
138,Gabon,2.881875,6.91875,6.775,57.63636364,349.8125,57.25
139,Fiji,5.05625,4.09375,3.79375,98.875,50,97.125
140,Ethiopia,1.48,8.38125,6.475,64.11111111,"3948.38",51.125
141,Estonia,5.668125,2.075,2.1375,86.83333333,3.5,94.25
142,Eritrea,1.515625,8.08125,8.01875,86.42857143,175,87.8125
143,Equatorial Guinea,1.785625,6.65625,6.6,9,294.5,36.875
144,El Salvador,4.5325,1.80625,1.725,86.0625,0.125,82.25
145,Egypt,4.92625,3.125,3.075,96.6875,"1069.25",96.6875
146,Ecuador,4.33125,1.38125,1.26875,78.0625,20.75,78.75
147,Dominican Republic,4.814375,3.46875,3.375,65.125,23,75.625
148,Dominica,5.84,2.7,2.6,96,0,96
149,Djibouti,2.625,5.84375,5.7,78,113.875,74.875
150,Democratic Republic of the Congo,1.58375,8.14375,7.95625,51.33333333,"48922.69",55.625
151,Democratic People's Republic of Korea,2.5625,5.4375,5.45,88.84615385,222.5625,98.25
152,Cuba,4.94625,3.44375,3.26875,96.25,0,98.6875
153,Côte d'Ivoire,2.1325,6.7375,6.69375,63.93333333,"1708.25",65.9375
154,Costa Rica,4.6725,1.9625,1.90625,79.3125,0.1875,69.9375
155,Cook Islands,8.28,0.1,0.1,98,0,98
156,Congo,2.0925,8.4875,8.125,50.77777778,"1021.63",52.4375
157,Comoros,1.825625,7.275,7.1625,76.46153846,62.625,67.8125
158,Colombia,4.954375,2.3,2.075,79,9.5,84.25
159,China,2.180625,4.6375,4.025,80.4375,"65857.94",93.6875
160,Chile,5.55875,0.8875,0.9125,77.2,1.0625,83.625
161,Chad,1.631875,7.14375,7.04375,29.875,"4687.75",32.875
162,Central African Republic,1.70875,7.10625,7.0875,42.57142857,699.4375,41.3125
163,Cameroon,2.361875,6.55,6.60625,76.81818182,"2979.25",72.5
164,Cambodia,1.53625,10.14375,10.88125,79.6,"1880.81",74.1875
165,Cabo Verde,2.4375,8.0125,7.975,80.64285714,0.125,84.375
166,Burundi,1.53125,8.01875,8.0125,93.33333333,"1349.50",86.625
167,Burkina Faso,1.55,7.41875,6.98125,81.1,"5091.75",69
168,Brunei Darussalam,2.971875,6.2,5.675,97.875,7.3125,97.5
169,Brazil,4.70625,3.05,3.0125,96.1875,95.375,98.3125
170,Botswana,3.224375,7.4375,7.8125,87.3125,237.875,96.1875
171,Bosnia and Herzegovina,4.89625,2.78125,2.75625,71.66666667,319.1875,78.3125
172,Bolivia (Plurinational State of),4.481875,1.3,1.1875,82.875,7.625,81.6875
173,Bhutan,1.758125,17.21875,17.925,94.125,80.25,89.375
174,Benin,1.96125,8.25,8.1375,62.57142857,"1116.88",67.6875
175,Belize,3.7675,3.55625,3.4875,94.75,0,95.5
176,Belarus,5.474375,2.2125,2.3375,88.9375,24.8125,89.875
177,Barbados,4.5975,3.95625,3.91875,84.06666667,0,80.3125
178,Bangladesh,1.2875,13.775,14.33125,77.61538462,"4649.94",87.5
179,Bahrain,5.165625,6.10625,5.95,98.125,6.6875,98
180,Bahamas,5.288125,2.55,2.51875,83.6,0,95
181,Azerbaijan,4.384375,2.9,2.94375,59.21428571,598.1875,75.8125
182,Armenia,4.470625,2.0375,2.1125,87.5625,274.25,89.125
183,Argentina,5.498125,1.075,0.95,81.28571429,2,93.375
184,Antigua and Barbuda,3.8425,3.425,3.375,98.26666667,0,96.9375
185,Angola,1.801875,6.19375,6.66875,70.22222222,"3561.31",46.125
186,Algeria,4.874375,6.09375,5.975,78,"1943.88",91.75
187,Albania,4.906875,1.61875,1.7,98,53.375,98.125
188,Afghanistan,1.551875,16.58125,15.58125,64.5625,"2362.25",48.375
